Accession,Description,Length,Part_1,Part_2,Part_3
MH123921.1,"6283. Bovine astrovirus isolate LVMS727 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",392 bp linear RNA,"6283. Bovine astrovirus isolate LVMS727 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",,
MH123920.1,"6284. Bovine astrovirus isolate LVMS681 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",392 bp linear RNA,"6284. Bovine astrovirus isolate LVMS681 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",,
MH123919.1,"6285. Bovine astrovirus isolate LVMS678 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",392 bp linear RNA,"6285. Bovine astrovirus isolate LVMS678 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",,
MH123918.1,"6286. Bovine astrovirus isolate LVMS676 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",392 bp linear RNA,"6286. Bovine astrovirus isolate LVMS676 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",,
MH123917.1,"6287. Bovine astrovirus isolate LVMS666 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",392 bp linear RNA,"6287. Bovine astrovirus isolate LVMS666 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",,
MH123916.1,"6288. Bovine astrovirus isolate LVMS3292 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",392 bp linear RNA,"6288. Bovine astrovirus isolate LVMS3292 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",,
MH123915.1,"6289. Bovine astrovirus isolate LVMS3290 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",392 bp linear RNA,"6289. Bovine astrovirus isolate LVMS3290 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",,
MH123914.1,"6290. Bovine astrovirus isolate LVMS3036 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",392 bp linear RNA,"6290. Bovine astrovirus isolate LVMS3036 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",,
MH123913.1,"6291. Bovine astrovirus isolate LVMS3026 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",392 bp linear RNA,"6291. Bovine astrovirus isolate LVMS3026 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",,
MH123912.1,"6292. Bovine astrovirus isolate LVMS3004 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",392 bp linear RNA,"6292. Bovine astrovirus isolate LVMS3004 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",,
MH123911.1,"6293. Bovine astrovirus isolate LVMS2989 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",392 bp linear RNA,"6293. Bovine astrovirus isolate LVMS2989 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",,
MH123910.1,"6294. Bovine astrovirus isolate LVMS2705 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",392 bp linear RNA,"6294. Bovine astrovirus isolate LVMS2705 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",,
MH123909.1,"6295. Bovine astrovirus isolate LVMS2704 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",392 bp linear RNA,"6295. Bovine astrovirus isolate LVMS2704 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",,
MH123908.1,"6296. Bovine astrovirus isolate LVMS2703 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",392 bp linear RNA,"6296. Bovine astrovirus isolate LVMS2703 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",,
MH123907.1,"6297. Bovine astrovirus isolate LVMS2693 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",392 bp linear RNA,"6297. Bovine astrovirus isolate LVMS2693 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",,
MH123906.1,"6298. Bovine astrovirus isolate LVMS2692 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",392 bp linear RNA,"6298. Bovine astrovirus isolate LVMS2692 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",,
MH123905.1,"6299. Bovine astrovirus isolate LVMS2688 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",392 bp linear RNA,"6299. Bovine astrovirus isolate LVMS2688 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",,
MH123904.1,"6300. Bovine astrovirus isolate LVMS2682 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",392 bp linear RNA,"6300. Bovine astrovirus isolate LVMS2682 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",,
MH123903.1,"6301. Bovine astrovirus isolate LVMS2679 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",392 bp linear RNA,"6301. Bovine astrovirus isolate LVMS2679 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",,
MH123902.1,"6302. Bovine astrovirus isolate LVMS2678 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",392 bp linear RNA,"6302. Bovine astrovirus isolate LVMS2678 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",,
MH123901.1,"6303. Bovine astrovirus isolate LVMS1796 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",392 bp linear RNA,"6303. Bovine astrovirus isolate LVMS1796 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",,
MH123900.1,"6304. Bovine astrovirus isolate LVMS1748 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",392 bp linear RNA,"6304. Bovine astrovirus isolate LVMS1748 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",,
MH123899.1,"6305. Bovine astrovirus isolate LVMS1732 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",392 bp linear RNA,"6305. Bovine astrovirus isolate LVMS1732 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",,
MH123898.1,"6306. Bovine astrovirus isolate LVMS1725 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",392 bp linear RNA,"6306. Bovine astrovirus isolate LVMS1725 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",,
MH123897.1,"6307. Bovine astrovirus isolate LVMS1377 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",392 bp linear RNA,"6307. Bovine astrovirus isolate LVMS1377 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",,
MH123896.1,"6308. Bovine astrovirus isolate LVMS1376 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",392 bp linear RNA,"6308. Bovine astrovirus isolate LVMS1376 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",,
MH123895.1,"6309. Bovine astrovirus isolate LVMS1111 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",392 bp linear RNA,"6309. Bovine astrovirus isolate LVMS1111 RNA-dependent RNA polymerase (orf1ab) gene, partial cds",,
MN149392.1,"6310. Duck astrovirus 1 isolate D17, complete genome","7,722 bp linear RNA","6310. Duck astrovirus 1 isolate D17, complete genome",,
MN428645.1,"6311. Goose astrovirus isolate AHAU5, complete genome","7,182 bp linear RNA","6311. Goose astrovirus isolate AHAU5, complete genome",,
MN428644.1,"6312. Goose astrovirus isolate AHAU4, complete genome","7,182 bp linear RNA","6312. Goose astrovirus isolate AHAU4, complete genome",,
MN428643.1,"6313. Goose astrovirus isolate AHAU3, complete genome","7,183 bp linear RNA","6313. Goose astrovirus isolate AHAU3, complete genome",,
MN428642.1,"6314. Goose astrovirus isolate GD AHAU2, complete genome","7,182 bp linear RNA","6314. Goose astrovirus isolate GD AHAU2, complete genome",,
MN428641.1,"6315. Goose astrovirus isolate AHAU1, complete genome","7,177 bp linear RNA","6315. Goose astrovirus isolate AHAU1, complete genome",,
MN464146.1,"6316. Bovine astrovirus non-structural polyprotein 1ab (ORF1ab) and non-structural polyprotein 1A (ORF1A) genes, partial cds; and ORF2 (ORF2) gene, complete cds","6,436 bp linear RNA","6316. Bovine astrovirus non-structural polyprotein 1ab (ORF1ab) and non-structural polyprotein 1A (ORF1A) genes, partial cds"," and ORF2 (ORF2) gene, complete cds",
MN329813.1,"6317. Chicken astrovirus isolate USP 748-20 capsid protein precursor, gene, complete cds","2,217 bp linear RNA","6317. Chicken astrovirus isolate USP 748-20 capsid protein precursor, gene, complete cds",,
MN329812.1,"6318. Chicken astrovirus isolate USP 748-18 capsid protein precursor, gene, complete cds","2,217 bp linear RNA","6318. Chicken astrovirus isolate USP 748-18 capsid protein precursor, gene, complete cds",,
MN329811.1,"6319. Chicken astrovirus isolate USP 748-16 capsid protein precursor, gene, complete cds","2,217 bp linear RNA","6319. Chicken astrovirus isolate USP 748-16 capsid protein precursor, gene, complete cds",,
MN329810.1,"6320. Chicken astrovirus isolate USP 748-14 capsid protein precursor, gene, complete cds","2,217 bp linear RNA","6320. Chicken astrovirus isolate USP 748-14 capsid protein precursor, gene, complete cds",,
MN329809.1,"6321. Chicken astrovirus isolate USP 748-12 capsid protein precursor, gene, complete cds","2,217 bp linear RNA","6321. Chicken astrovirus isolate USP 748-12 capsid protein precursor, gene, complete cds",,
MG693176.1,"6322. Bat astrovirus isolate CMR/Bat-AsV/P02 ORF1a gene, partial cds; and ORF1b and ORF2 genes, complete cds","6,520 bp linear RNA","6322. Bat astrovirus isolate CMR/Bat-AsV/P02 ORF1a gene, partial cds"," and ORF1b and ORF2 genes, complete cds",
MG693175.1,"6323. Bat bastrovirus isolate CMR/Bat/P24 non-structural polyprotein gene, partial cds; and structural polyprotein gene, complete cds","5,679 bp linear RNA","6323. Bat bastrovirus isolate CMR/Bat/P24 non-structural polyprotein gene, partial cds"," and structural polyprotein gene, complete cds",
MN318336.1,"6324. Human astrovirus isolate AP040872_2019_AstV1 capsid protein gene, partial cds",423 bp linear RNA,"6324. Human astrovirus isolate AP040872_2019_AstV1 capsid protein gene, partial cds",,
MN318335.1,"6325. Human astrovirus isolate AP040864_2019_AstV4 capsid protein gene, partial cds",419 bp linear RNA,"6325. Human astrovirus isolate AP040864_2019_AstV4 capsid protein gene, partial cds",,
MN318334.1,"6326. Human astrovirus isolate AP040718_2018_AstV4 capsid protein gene, partial cds",427 bp linear RNA,"6326. Human astrovirus isolate AP040718_2018_AstV4 capsid protein gene, partial cds",,
MN318333.1,"6327. Human astrovirus isolate AP040657_2018_AstV4 capsid protein gene, partial cds",433 bp linear RNA,"6327. Human astrovirus isolate AP040657_2018_AstV4 capsid protein gene, partial cds",,
MN318332.1,"6328. Human astrovirus isolate AP040618_2018_AstV4 capsid protein gene, partial cds",397 bp linear RNA,"6328. Human astrovirus isolate AP040618_2018_AstV4 capsid protein gene, partial cds",,
MN318331.1,"6329. Human astrovirus isolate AP040605_2018_AstV4 capsid protein gene, partial cds",416 bp linear RNA,"6329. Human astrovirus isolate AP040605_2018_AstV4 capsid protein gene, partial cds",,
MN318330.1,"6330. Human astrovirus isolate AP040600_2018_AstV3 capsid protein gene, partial cds",447 bp linear RNA,"6330. Human astrovirus isolate AP040600_2018_AstV3 capsid protein gene, partial cds",,
MN256448.1,"6331. Human astrovirus isolate AP040018_2016_AstV1 capsid protein gene, partial cds",364 bp linear RNA,"6331. Human astrovirus isolate AP040018_2016_AstV1 capsid protein gene, partial cds",,
MN242266.1,"6332. Human astrovirus isolate AP040012_2016_AstV8 capsid protein gene, partial cds",392 bp linear RNA,"6332. Human astrovirus isolate AP040012_2016_AstV8 capsid protein gene, partial cds",,
MN242265.1,"6333. Human astrovirus isolate TH542_2015_AstV1 capsid protein gene, partial cds",415 bp linear RNA,"6333. Human astrovirus isolate TH542_2015_AstV1 capsid protein gene, partial cds",,
MN242264.1,"6334. Human astrovirus isolate TH476_2015_AstV6 capsid protein gene, partial cds",402 bp linear RNA,"6334. Human astrovirus isolate TH476_2015_AstV6 capsid protein gene, partial cds",,
MN242263.1,"6335. Human astrovirus isolate TH507_2015_AstV1 capsid protein gene, partial cds",404 bp linear RNA,"6335. Human astrovirus isolate TH507_2015_AstV1 capsid protein gene, partial cds",,
MN242262.1,"6336. Human astrovirus isolate TH375_2014_AstV1 capsid protein gene, partial cds",435 bp linear RNA,"6336. Human astrovirus isolate TH375_2014_AstV1 capsid protein gene, partial cds",,
MN242261.1,"6337. Human astrovirus isolate TH370_2014_AstV1 capsid protein gene, partial cds",421 bp linear RNA,"6337. Human astrovirus isolate TH370_2014_AstV1 capsid protein gene, partial cds",,
MN242260.1,"6338. Human astrovirus isolate TH318_2014_AstV5 capsid protein gene, partial cds",417 bp linear RNA,"6338. Human astrovirus isolate TH318_2014_AstV5 capsid protein gene, partial cds",,
MN242259.1,"6339. Human astrovirus isolate TH181_2013_AstV2 capsid protein gene, partial cds",452 bp linear RNA,"6339. Human astrovirus isolate TH181_2013_AstV2 capsid protein gene, partial cds",,
MN242258.1,"6340. Human astrovirus isolate TH188_2013_AstV1 capsid protein gene, partial cds",398 bp linear RNA,"6340. Human astrovirus isolate TH188_2013_AstV1 capsid protein gene, partial cds",,
MN242257.1,"6341. Human astrovirus isolate TH176_2013_AstV2 capsid protein gene, partial cds",290 bp linear RNA,"6341. Human astrovirus isolate TH176_2013_AstV2 capsid protein gene, partial cds",,
MN242256.1,"6342. Human astrovirus isolate TH152_2013_AstV2 capsid protein gene, partial cds",383 bp linear RNA,"6342. Human astrovirus isolate TH152_2013_AstV2 capsid protein gene, partial cds",,
MN242255.1,"6343. Human astrovirus isolate TH150_2013_AstV1 capsid protein gene, partial cds",433 bp linear RNA,"6343. Human astrovirus isolate TH150_2013_AstV1 capsid protein gene, partial cds",,
MN242254.1,"6344. Human astrovirus isolate TH236_2013_AstV4 capsid protein gene, partial cds",412 bp linear RNA,"6344. Human astrovirus isolate TH236_2013_AstV4 capsid protein gene, partial cds",,
MN242253.1,"6345. Human astrovirus isolate TH69_2013_AstV1 capsid protein gene, partial cds",410 bp linear RNA,"6345. Human astrovirus isolate TH69_2013_AstV1 capsid protein gene, partial cds",,
MN242252.1,"6346. Human astrovirus isolate TH77_2013_AstV2 capsid protein gene, partial cds",435 bp linear RNA,"6346. Human astrovirus isolate TH77_2013_AstV2 capsid protein gene, partial cds",,
MN087316.1,"6347. White-tailed deer astrovirus strain WI65268, complete genome","6,246 bp linear RNA","6347. White-tailed deer astrovirus strain WI65268, complete genome",,
MN123726.1,"6348. Human astrovirus isolate Viet83 capsid precursor protein gene, partial cds",404 bp linear RNA,"6348. Human astrovirus isolate Viet83 capsid precursor protein gene, partial cds",,
MN123725.1,"6349. Human astrovirus isolate Viet74 capsid precursor protein gene, partial cds",404 bp linear RNA,"6349. Human astrovirus isolate Viet74 capsid precursor protein gene, partial cds",,
MN123724.1,"6350. Human astrovirus isolate Viet64 capsid precursor protein gene, partial cds",404 bp linear RNA,"6350. Human astrovirus isolate Viet64 capsid precursor protein gene, partial cds",,
MN123723.1,"6351. Human astrovirus isolate Viet56 capsid precursor protein gene, partial cds",404 bp linear RNA,"6351. Human astrovirus isolate Viet56 capsid precursor protein gene, partial cds",,
MN123722.1,"6352. Human astrovirus isolate Viet47 capsid precursor protein gene, partial cds",404 bp linear RNA,"6352. Human astrovirus isolate Viet47 capsid precursor protein gene, partial cds",,
MN123721.1,"6353. Human astrovirus isolate Viet39 capsid precursor protein gene, partial cds",404 bp linear RNA,"6353. Human astrovirus isolate Viet39 capsid precursor protein gene, partial cds",,
MN230104.1,"6354. Human astrovirus isolate TH62_2013_AstV1 capsid protein gene, partial cds",414 bp linear RNA,"6354. Human astrovirus isolate TH62_2013_AstV1 capsid protein gene, partial cds",,
MN230103.1,"6355. Human astrovirus isolate TH45_2012_AstV1 capsid protein gene, partial cds",414 bp linear RNA,"6355. Human astrovirus isolate TH45_2012_AstV1 capsid protein gene, partial cds",,
MN230102.1,"6356. Human astrovirus isolate TH40_2012_AstV1 capsid protein gene, partial cds",413 bp linear RNA,"6356. Human astrovirus isolate TH40_2012_AstV1 capsid protein gene, partial cds",,
MN230101.1,"6357. Human astrovirus isolate TH38_2012_AstV1 capsid protein gene, partial cds",411 bp linear RNA,"6357. Human astrovirus isolate TH38_2012_AstV1 capsid protein gene, partial cds",,
KY054088.1,"6358. Mamastrovirus 9 isolate PREDICT_PMW 00329 clone 8926 RNA-dependent RNA polymerase gene, partial cds",385 bp linear RNA,"6358. Mamastrovirus 9 isolate PREDICT_PMW 00329 clone 8926 RNA-dependent RNA polymerase gene, partial cds",,
KY054087.1,"6359. Mamastrovirus sp. isolate Astrovirus_PREDICT MAstV-82/PMW 00225 clone 8931 RNA-dependent RNA polymerase gene, partial cds",385 bp linear RNA,"6359. Mamastrovirus sp. isolate Astrovirus_PREDICT MAstV-82/PMW 00225 clone 8931 RNA-dependent RNA polymerase gene, partial cds",,
KY054011.1,"6360. Mamastrovirus 25 isolate PREDICT_PSW 00733 clone 285087 RNA-dependent RNA polymerase gene, partial cds",367 bp linear RNA,"6360. Mamastrovirus 25 isolate PREDICT_PSW 00733 clone 285087 RNA-dependent RNA polymerase gene, partial cds",,
